DATABASE	Lon	Lat	30_ag	30_F0	30_Tc	50_ag	50_F0	50_Tc	72_ag	72_F0	72_Tc	101_ag	101_F0	101_Tc	140_ag	140_F0	140_Tc	201_ag	201_F0	201_Tc	475_ag	475_F0	475_Tc	975_ag	975_F0	975_Tc	2475_ag	2475_F0	2475_Tc
35878	15.127	40.223	0.301	2.4	0.28	0.37	2.48	0.32	0.428	2.51	0.36	0.493	2.5	0.38	0.555	2.53	0.42	0.63	2.56	0.44	0.834	2.67	0.48	1.024	2.76	0.53	1.29	2.9	0.55
31222	15.552	41.266	0.463	2.44	0.29	0.582	2.56	0.32	0.718	2.49	0.33	0.843	2.51	0.35	0.976	2.52	0.36	1.166	2.45	0.41	1.73	2.5	0.41	2.388	2.45	0.42	3.645	2.36	0.44
36321	15.059	40.124	0.276	2.39	0.27	0.344	2.44	0.33	0.393	2.52	0.36	0.451	2.5	0.39	0.509	2.51	0.43	0.573	2.58	0.45	0.747	2.68	0.52	0.906	2.81	0.54	1.128	2.98	0.57
34770	15.264	40.471	0.384	2.47	0.28	0.489	2.44	0.33	0.567	2.51	0.34	0.655	2.53	0.36	0.752	2.53	0.38	0.874	2.5	0.41	1.226	2.52	0.44	1.578	2.58	0.46	2.097	2.66	0.51
34105	15.334	40.62	0.506	2.35	0.28	0.662	2.35	0.31	0.794	2.37	0.32	0.945	2.38	0.33	1.112	2.39	0.34	1.329	2.39	0.36	2.013	2.31	0.4	2.816	2.3	0.41	3.979	2.4	0.43
31000	15.554	41.316	0.452	2.45	0.29	0.566	2.55	0.32	0.673	2.55	0.34	0.781	2.58	0.36	0.899	2.59	0.38	1.076	2.49	0.43	1.529	2.57	0.43	2.054	2.53	0.44	3.033	2.46	0.45
32331	15.478	41.018	0.533	2.4	0.28	0.689	2.46	0.32	0.818	2.55	0.32	0.995	2.49	0.33	1.178	2.47	0.35	1.392	2.49	0.36	2.152	2.37	0.42	2.987	2.39	0.43	4.462	2.36	0.45
30778	15.556	41.366	0.447	2.44	0.29	0.556	2.55	0.33	0.646	2.59	0.35	0.741	2.63	0.37	0.865	2.53	0.41	0.997	2.56	0.43	1.373	2.63	0.45	1.783	2.58	0.51	2.5	2.56	0.5
33218	15.406	40.819	0.593	2.37	0.28	0.804	2.31	0.31	0.985	2.32	0.32	1.181	2.33	0.33	1.406	2.32	0.34	1.703	2.31	0.35	2.636	2.28	0.38	3.611	2.28	0.41	5.126	2.38	0.43
35213	15.196	40.372	0.342	2.44	0.28	0.42	2.5	0.33	0.495	2.49	0.36	0.564	2.54	0.37	0.641	2.52	0.41	0.739	2.53	0.43	1.003	2.59	0.46	1.259	2.64	0.51	1.617	2.77	0.53
30556	15.557	41.416	0.448	2.45	0.29	0.559	2.55	0.33	0.644	2.58	0.35	0.752	2.57	0.36	0.858	2.54	0.41	0.976	2.58	0.42	1.317	2.63	0.45	1.671	2.62	0.52	2.249	2.64	0.52
32109	15.48	41.068	0.521	2.43	0.28	0.669	2.52	0.31	0.808	2.52	0.32	0.988	2.45	0.34	1.159	2.45	0.35	1.369	2.5	0.36	2.115	2.4	0.41	2.941	2.4	0.42	4.407	2.35	0.45
33883	15.336	40.67	0.536	2.38	0.28	0.715	2.35	0.3	0.872	2.35	0.32	1.046	2.34	0.33	1.237	2.35	0.34	1.494	2.34	0.35	2.303	2.3	0.37	3.156	2.3	0.4	4.447	2.44	0.43
35656	15.128	40.273	0.31	2.4	0.28	0.38	2.49	0.32	0.442	2.5	0.36	0.508	2.5	0.38	0.571	2.53	0.42	0.652	2.55	0.44	0.866	2.65	0.47	1.066	2.73	0.52	1.347	2.88	0.55
34548	15.266	40.521	0.403	2.47	0.28	0.517	2.44	0.32	0.598	2.52	0.34	0.7	2.5	0.36	0.8	2.53	0.37	0.94	2.47	0.41	1.332	2.5	0.44	1.735	2.55	0.45	2.376	2.58	0.51
30334	15.559	41.466	0.46	2.43	0.3	0.575	2.53	0.33	0.683	2.52	0.34	0.781	2.58	0.35	0.886	2.6	0.36	1.007	2.57	0.4	1.36	2.59	0.43	1.725	2.61	0.44	2.311	2.58	0.5
36099	15.06	40.174	0.283	2.4	0.27	0.352	2.46	0.32	0.4	2.53	0.36	0.462	2.5	0.39	0.521	2.52	0.42	0.587	2.58	0.44	0.768	2.67	0.51	0.936	2.79	0.54	1.168	2.96	0.56
32996	15.407	40.869	0.591	2.36	0.28	0.795	2.32	0.32	0.971	2.33	0.33	1.171	2.32	0.33	1.393	2.32	0.34	1.684	2.31	0.35	2.59	2.29	0.38	3.532	2.31	0.43	5.035	2.38	0.44
30112	15.56	41.516	0.483	2.44	0.29	0.616	2.49	0.32	0.73	2.53	0.33	0.838	2.56	0.34	0.956	2.57	0.35	1.103	2.57	0.36	1.52	2.57	0.37	1.966	2.51	0.41	2.696	2.5	0.42
31887	15.481	41.118	0.509	2.44	0.28	0.651	2.54	0.31	0.803	2.48	0.33	0.97	2.44	0.34	1.135	2.46	0.35	1.339	2.49	0.36	2.069	2.43	0.41	2.886	2.4	0.42	4.357	2.34	0.44
29890	15.562	41.566	0.514	2.41	0.29	0.67	2.5	0.3	0.789	2.53	0.32	0.922	2.53	0.33	1.063	2.53	0.33	1.24	2.52	0.34	1.755	2.5	0.36	2.297	2.5	0.36	3.212	2.48	0.37
34991	15.197	40.422	0.354	2.45	0.28	0.439	2.47	0.33	0.515	2.49	0.35	0.585	2.55	0.37	0.671	2.5	0.41	0.771	2.53	0.43	1.059	2.57	0.46	1.336	2.62	0.51	1.732	2.74	0.53
29668	15.564	41.616	0.544	2.46	0.28	0.714	2.49	0.29	0.851	2.51	0.3	0.996	2.5	0.32	1.161	2.49	0.32	1.361	2.49	0.33	1.935	2.48	0.34	2.562	2.45	0.35	3.593	2.44	0.36
33661	15.337	40.72	0.563	2.39	0.28	0.759	2.36	0.29	0.932	2.33	0.32	1.121	2.33	0.32	1.333	2.32	0.34	1.611	2.32	0.34	2.489	2.29	0.37	3.413	2.32	0.39	4.773	2.45	0.43
29446	15.565	41.666	0.565	2.48	0.28	0.743	2.5	0.29	0.89	2.5	0.3	1.046	2.49	0.3	1.21	2.49	0.32	1.412	2.5	0.32	2.035	2.46	0.34	2.688	2.44	0.34	3.765	2.43	0.36
31665	15.483	41.168	0.497	2.45	0.29	0.633	2.55	0.32	0.789	2.47	0.33	0.945	2.44	0.34	1.102	2.47	0.35	1.299	2.5	0.36	2.002	2.45	0.41	2.802	2.4	0.42	4.27	2.33	0.44
29224	15.567	41.716	0.573	2.48	0.28	0.754	2.5	0.29	0.905	2.5	0.29	1.06	2.5	0.3	1.225	2.5	0.31	1.437	2.5	0.32	2.072	2.45	0.33	2.733	2.43	0.34	3.822	2.43	0.36
34326	15.267	40.571	0.432	2.42	0.28	0.552	2.43	0.32	0.65	2.46	0.34	0.757	2.48	0.35	0.877	2.49	0.36	1.026	2.48	0.38	1.498	2.44	0.43	2.009	2.45	0.44	2.864	2.43	0.46
32774	15.409	40.919	0.575	2.37	0.29	0.769	2.34	0.32	0.937	2.36	0.33	1.144	2.32	0.34	1.357	2.36	0.34	1.632	2.4	0.35	2.49	2.41	0.37	3.494	2.34	0.42	5.066	2.39	0.46
28558	15.572	41.866	0.531	2.45	0.28	0.699	2.49	0.29	0.837	2.52	0.29	0.986	2.53	0.3	1.149	2.52	0.3	1.358	2.49	0.32	1.977	2.45	0.32	2.624	2.43	0.34	3.69	2.42	0.35
29002	15.568	41.766	0.57	2.47	0.28	0.752	2.5	0.29	0.9	2.51	0.29	1.055	2.51	0.3	1.221	2.51	0.3	1.438	2.49	0.32	2.075	2.45	0.33	2.739	2.43	0.34	3.83	2.42	0.36
28780	15.57	41.816	0.557	2.46	0.28	0.734	2.49	0.29	0.88	2.51	0.29	1.033	2.52	0.3	1.198	2.52	0.3	1.415	2.49	0.32	2.051	2.45	0.33	2.712	2.43	0.34	3.799	2.42	0.35
35434	15.129	40.323	0.319	2.4	0.28	0.39	2.5	0.32	0.456	2.49	0.36	0.523	2.5	0.38	0.588	2.54	0.41	0.675	2.54	0.44	0.9	2.63	0.47	1.113	2.71	0.52	1.41	2.86	0.54
35877	15.061	40.224	0.291	2.4	0.28	0.36	2.47	0.32	0.411	2.52	0.36	0.474	2.5	0.39	0.535	2.52	0.42	0.602	2.58	0.44	0.792	2.67	0.51	0.968	2.78	0.53	1.212	2.94	0.56
36320	14.993	40.125	0.267	2.39	0.27	0.335	2.43	0.33	0.383	2.51	0.36	0.436	2.52	0.39	0.492	2.52	0.43	0.554	2.59	0.45	0.716	2.7	0.52	0.863	2.83	0.55	1.07	3.01	0.57
31443	15.484	41.218	0.485	2.44	0.29	0.611	2.57	0.32	0.761	2.48	0.33	0.908	2.46	0.34	1.055	2.48	0.35	1.239	2.45	0.4	1.902	2.46	0.41	2.652	2.41	0.42	4.064	2.33	0.44
32552	15.41	40.969	0.566	2.37	0.28	0.751	2.36	0.32	0.912	2.38	0.33	1.084	2.46	0.33	1.279	2.47	0.34	1.532	2.46	0.35	2.333	2.46	0.37	3.327	2.34	0.42	4.911	2.34	0.45
33439	15.338	40.77	0.583	2.39	0.28	0.788	2.35	0.29	0.973	2.32	0.32	1.165	2.32	0.33	1.387	2.32	0.34	1.682	2.31	0.35	2.592	2.29	0.37	3.573	2.31	0.39	4.976	2.44	0.43
34769	15.199	40.472	0.367	2.46	0.28	0.461	2.45	0.33	0.537	2.5	0.35	0.612	2.55	0.37	0.705	2.5	0.4	0.811	2.53	0.42	1.127	2.55	0.45	1.433	2.61	0.47	1.877	2.7	0.52
31221	15.486	41.268	0.471	2.43	0.29	0.59	2.56	0.32	0.719	2.51	0.34	0.851	2.52	0.35	0.985	2.53	0.36	1.163	2.47	0.41	1.738	2.51	0.42	2.392	2.46	0.43	3.636	2.37	0.44
34104	15.268	40.621	0.467	2.38	0.28	0.595	2.42	0.31	0.715	2.41	0.33	0.836	2.44	0.34	0.977	2.43	0.36	1.16	2.43	0.37	1.709	2.39	0.42	2.347	2.38	0.43	3.414	2.36	0.44
30999	15.487	41.318	0.459	2.42	0.29	0.573	2.55	0.32	0.674	2.56	0.34	0.787	2.59	0.36	0.907	2.59	0.37	1.083	2.48	0.43	1.535	2.57	0.43	2.057	2.54	0.44	3.021	2.47	0.45
32330	15.412	41.019	0.554	2.38	0.28	0.722	2.4	0.32	0.864	2.5	0.32	1.019	2.54	0.33	1.224	2.48	0.34	1.451	2.5	0.35	2.262	2.36	0.41	3.154	2.36	0.43	4.716	2.34	0.46
35212	15.13	40.373	0.33	2.42	0.28	0.401	2.51	0.32	0.474	2.48	0.36	0.542	2.51	0.38	0.609	2.54	0.41	0.702	2.54	0.44	0.941	2.62	0.47	1.169	2.69	0.52	1.492	2.82	0.54
33217	15.34	40.82	0.596	2.38	0.28	0.806	2.34	0.3	0.993	2.31	0.32	1.189	2.32	0.33	1.417	2.32	0.34	1.717	2.31	0.35	2.652	2.29	0.38	3.641	2.29	0.41	5.118	2.4	0.43
35655	15.062	40.274	0.3	2.39	0.28	0.369	2.47	0.32	0.425	2.51	0.36	0.489	2.49	0.38	0.55	2.52	0.42	0.622	2.57	0.44	0.819	2.68	0.48	1.003	2.77	0.53	1.26	2.92	0.55
30777	15.489	41.368	0.453	2.43	0.29	0.562	2.55	0.33	0.65	2.6	0.35	0.747	2.63	0.37	0.866	2.55	0.41	1.004	2.57	0.43	1.38	2.63	0.45	1.788	2.59	0.51	2.496	2.58	0.5
36098	14.995	40.175	0.274	2.4	0.27	0.342	2.44	0.32	0.39	2.52	0.36	0.446	2.51	0.39	0.503	2.52	0.43	0.567	2.59	0.44	0.735	2.69	0.52	0.889	2.82	0.54	1.105	3	0.57
34547	15.2	40.522	0.383	2.47	0.28	0.486	2.45	0.33	0.564	2.52	0.34	0.65	2.53	0.36	0.747	2.53	0.38	0.866	2.51	0.42	1.21	2.53	0.45	1.556	2.59	0.46	2.065	2.66	0.52
33882	15.27	40.671	0.505	2.35	0.28	0.659	2.35	0.31	0.79	2.38	0.32	0.939	2.38	0.34	1.106	2.39	0.35	1.32	2.39	0.36	1.993	2.32	0.4	2.792	2.3	0.41	3.953	2.39	0.43
32108	15.413	41.069	0.536	2.41	0.28	0.692	2.47	0.32	0.822	2.55	0.32	1.004	2.48	0.33	1.185	2.47	0.35	1.402	2.49	0.36	2.174	2.36	0.42	3.024	2.39	0.43	4.516	2.36	0.45
30555	15.491	41.418	0.452	2.44	0.29	0.564	2.54	0.33	0.651	2.58	0.35	0.754	2.58	0.36	0.864	2.54	0.41	0.983	2.58	0.42	1.324	2.63	0.45	1.679	2.62	0.52	2.253	2.65	0.52
32995	15.341	40.87	0.602	2.37	0.28	0.82	2.3	0.31	0.996	2.32	0.32	1.198	2.32	0.33	1.429	2.32	0.34	1.73	2.31	0.35	2.68	2.28	0.38	3.67	2.27	0.41	5.238	2.35	0.43
30333	15.492	41.467	0.464	2.42	0.3	0.58	2.53	0.33	0.686	2.52	0.34	0.786	2.58	0.35	0.892	2.6	0.36	1.014	2.57	0.4	1.368	2.6	0.43	1.732	2.62	0.44	2.318	2.59	0.51
34990	15.132	40.423	0.341	2.43	0.28	0.419	2.49	0.33	0.493	2.48	0.36	0.561	2.53	0.37	0.636	2.52	0.41	0.732	2.53	0.43	0.988	2.6	0.46	1.236	2.66	0.51	1.587	2.78	0.53
31886	15.415	41.119	0.523	2.43	0.28	0.671	2.52	0.31	0.807	2.53	0.32	0.987	2.46	0.34	1.156	2.46	0.35	1.365	2.5	0.36	2.11	2.4	0.41	2.935	2.4	0.42	4.404	2.35	0.45
30111	15.494	41.517	0.488	2.42	0.3	0.619	2.5	0.32	0.735	2.53	0.33	0.843	2.56	0.34	0.962	2.57	0.35	1.108	2.57	0.36	1.526	2.58	0.37	1.973	2.52	0.41	2.701	2.51	0.42
29889	15.495	41.567	0.516	2.41	0.29	0.673	2.5	0.3	0.792	2.53	0.32	0.926	2.53	0.33	1.068	2.53	0.33	1.244	2.52	0.34	1.758	2.5	0.36	2.301	2.5	0.36	3.216	2.48	0.37
33660	15.271	40.721	0.539	2.37	0.28	0.717	2.35	0.3	0.876	2.34	0.32	1.045	2.35	0.33	1.236	2.35	0.34	1.491	2.34	0.35	2.292	2.31	0.37	3.158	2.29	0.4	4.439	2.43	0.43
34325	15.201	40.572	0.402	2.47	0.28	0.516	2.44	0.32	0.595	2.52	0.34	0.696	2.5	0.36	0.795	2.53	0.37	0.932	2.48	0.41	1.318	2.5	0.44	1.714	2.56	0.45	2.337	2.6	0.51
35433	15.064	40.324	0.309	2.39	0.28	0.379	2.48	0.32	0.44	2.49	0.36	0.505	2.49	0.38	0.568	2.53	0.42	0.645	2.55	0.44	0.852	2.66	0.48	1.046	2.75	0.52	1.318	2.9	0.55
29667	15.497	41.617	0.547	2.45	0.28	0.717	2.49	0.29	0.854	2.51	0.3	0.999	2.5	0.32	1.163	2.5	0.32	1.363	2.49	0.33	1.937	2.48	0.34	2.563	2.45	0.35	3.593	2.44	0.36
32773	15.343	40.92	0.598	2.36	0.28	0.806	2.31	0.31	0.984	2.33	0.33	1.192	2.32	0.33	1.42	2.31	0.34	1.717	2.32	0.35	2.646	2.3	0.38	3.658	2.28	0.43	5.14	2.41	0.44
35876	14.996	40.225	0.282	2.39	0.27	0.35	2.45	0.32	0.399	2.52	0.36	0.459	2.5	0.39	0.517	2.52	0.42	0.581	2.59	0.44	0.757	2.68	0.51	0.919	2.81	0.54	1.145	2.98	0.56
31664	15.416	41.169	0.51	2.43	0.28	0.649	2.53	0.32	0.791	2.5	0.33	0.958	2.45	0.34	1.119	2.46	0.35	1.319	2.5	0.36	2.03	2.43	0.41	2.83	2.4	0.42	4.29	2.34	0.44
29445	15.498	41.667	0.567	2.48	0.28	0.745	2.5	0.29	0.892	2.5	0.3	1.048	2.49	0.3	1.212	2.49	0.32	1.413	2.51	0.32	2.036	2.46	0.34	2.688	2.44	0.34	3.764	2.43	0.36
29223	15.5	41.717	0.574	2.48	0.28	0.756	2.5	0.29	0.907	2.5	0.29	1.062	2.5	0.3	1.226	2.5	0.31	1.438	2.5	0.32	2.072	2.45	0.33	2.733	2.43	0.34	3.821	2.43	0.36
28557	15.505	41.867	0.531	2.45	0.28	0.699	2.49	0.29	0.836	2.51	0.29	0.984	2.52	0.3	1.147	2.52	0.3	1.355	2.49	0.32	1.972	2.45	0.33	2.617	2.43	0.34	3.682	2.42	0.35
29001	15.501	41.767	0.571	2.47	0.28	0.753	2.49	0.29	0.901	2.5	0.29	1.056	2.51	0.3	1.221	2.5	0.31	1.438	2.49	0.32	2.075	2.45	0.33	2.738	2.43	0.34	3.828	2.42	0.36
28779	15.503	41.817	0.557	2.46	0.28	0.734	2.49	0.29	0.88	2.51	0.29	1.032	2.52	0.3	1.197	2.52	0.3	1.414	2.49	0.32	2.048	2.45	0.33	2.709	2.43	0.34	3.796	2.42	0.35
31442	15.418	41.219	0.495	2.43	0.29	0.626	2.55	0.32	0.763	2.5	0.33	0.919	2.46	0.34	1.068	2.49	0.35	1.255	2.51	0.37	1.92	2.45	0.41	2.669	2.42	0.42	4.07	2.34	0.44
34768	15.133	40.473	0.354	2.44	0.28	0.44	2.47	0.33	0.514	2.49	0.35	0.584	2.54	0.37	0.668	2.5	0.41	0.767	2.53	0.43	1.046	2.58	0.46	1.318	2.63	0.51	1.706	2.75	0.53
33438	15.272	40.771	0.567	2.39	0.28	0.762	2.35	0.29	0.938	2.33	0.32	1.123	2.33	0.33	1.336	2.33	0.34	1.613	2.33	0.35	2.492	2.29	0.37	3.429	2.31	0.39	4.784	2.44	0.43
32551	15.344	40.97	0.584	2.37	0.29	0.782	2.34	0.32	0.959	2.34	0.33	1.162	2.34	0.34	1.378	2.39	0.34	1.66	2.41	0.35	2.535	2.42	0.36	3.558	2.34	0.42	5.184	2.38	0.46
34103	15.203	40.622	0.433	2.42	0.28	0.552	2.43	0.32	0.649	2.46	0.34	0.755	2.48	0.35	0.873	2.49	0.37	1.02	2.45	0.4	1.485	2.44	0.43	1.988	2.45	0.44	2.816	2.45	0.46
31220	15.419	41.269	0.48	2.41	0.29	0.599	2.56	0.32	0.72	2.53	0.34	0.861	2.51	0.35	0.994	2.54	0.36	1.165	2.49	0.41	1.75	2.5	0.42	2.401	2.47	0.43	3.632	2.38	0.44
35211	15.065	40.374	0.32	2.4	0.28	0.39	2.49	0.32	0.457	2.48	0.36	0.522	2.5	0.38	0.586	2.53	0.41	0.67	2.55	0.44	0.889	2.64	0.47	1.096	2.73	0.52	1.387	2.87	0.54
35654	14.997	40.275	0.291	2.39	0.27	0.36	2.45	0.32	0.412	2.51	0.36	0.473	2.49	0.39	0.532	2.52	0.42	0.598	2.58	0.44	0.782	2.67	0.51	0.952	2.8	0.53	1.189	2.96	0.56
36097	14.929	40.176	0.265	2.39	0.27	0.333	2.43	0.32	0.381	2.51	0.35	0.432	2.52	0.39	0.487	2.52	0.42	0.548	2.59	0.44	0.706	2.71	0.52	0.85	2.85	0.55	1.052	3.02	0.57
32329	15.346	41.02	0.573	2.37	0.28	0.759	2.36	0.32	0.919	2.39	0.33	1.092	2.47	0.33	1.288	2.47	0.34	1.543	2.47	0.35	2.372	2.44	0.37	3.378	2.33	0.42	5.017	2.32	0.45
30998	15.421	41.319	0.467	2.4	0.29	0.58	2.55	0.32	0.679	2.57	0.34	0.794	2.59	0.36	0.916	2.6	0.37	1.087	2.49	0.43	1.545	2.58	0.43	2.064	2.55	0.44	3.015	2.49	0.45
33216	15.274	40.821	0.587	2.38	0.28	0.791	2.35	0.29	0.979	2.31	0.32	1.169	2.33	0.33	1.392	2.33	0.34	1.686	2.31	0.35	2.6	2.29	0.38	3.575	2.29	0.41	5.005	2.42	0.43
34546	15.134	40.523	0.369	2.45	0.28	0.463	2.45	0.33	0.538	2.5	0.35	0.612	2.55	0.37	0.703	2.5	0.41	0.806	2.54	0.42	1.116	2.56	0.45	1.416	2.62	0.47	1.854	2.71	0.52
33881	15.204	40.672	0.469	2.38	0.28	0.596	2.42	0.31	0.715	2.42	0.33	0.834	2.45	0.35	0.97	2.45	0.36	1.157	2.42	0.37	1.697	2.39	0.42	2.322	2.39	0.43	3.386	2.35	0.44
30776	15.422	41.369	0.457	2.42	0.29	0.569	2.54	0.33	0.659	2.58	0.35	0.754	2.63	0.37	0.868	2.57	0.41	1.014	2.56	0.43	1.389	2.63	0.45	1.797	2.6	0.51	2.498	2.59	0.5
32107	15.347	41.07	0.557	2.39	0.28	0.724	2.41	0.32	0.865	2.5	0.32	1.02	2.54	0.33	1.226	2.48	0.34	1.454	2.5	0.35	2.269	2.35	0.41	3.164	2.36	0.43	4.722	2.34	0.46
30554	15.424	41.419	0.457	2.43	0.3	0.571	2.54	0.33	0.66	2.57	0.35	0.758	2.59	0.37	0.873	2.53	0.41	0.991	2.58	0.42	1.336	2.64	0.45	1.691	2.63	0.52	2.265	2.66	0.52
34989	15.066	40.424	0.331	2.41	0.28	0.403	2.5	0.32	0.474	2.47	0.36	0.541	2.51	0.38	0.607	2.53	0.41	0.698	2.54	0.44	0.931	2.63	0.47	1.154	2.7	0.52	1.47	2.83	0.54
32994	15.275	40.871	0.601	2.38	0.28	0.816	2.33	0.3	0.998	2.32	0.32	1.197	2.32	0.33	1.427	2.32	0.34	1.728	2.31	0.35	2.671	2.28	0.38	3.658	2.28	0.41	5.177	2.38	0.43
